Date,AAPL_PX_LAST,SPX_PX_LAST
2/16/2012,65.0661,1358.04
2/17/2012,65.0544,1361.23
2/21/2012,66.7037,1362.21
2/22/2012,66.4692,1357.66
2/23/2012,66.9032,1363.46
2/24/2012,67.6832,1365.74
2/27/2012,68.1172,1367.59
2/28/2012,69.3675,1372.18
2/29/2012,70.2783,1365.68
3/1/2012,70.5413,1374.09
3/2/2012,70.6333,1369.63
3/5/2012,69.076,1364.33
3/6/2012,68.7002,1343.36
3/7/2012,68.7559,1352.63
3/8/2012,70.22,1365.91
3/9/2012,70.632,1370.87
3/12/2012,71.5169,1371.09
3/13/2012,73.6028,1395.95
3/14/2012,76.3857,1394.28
3/15/2012,75.8649,1402.6
3/16/2012,75.8662,1404.17
3/19/2012,77.8782,1409.75
3/20/2012,78.5079,1405.52
3/21/2012,78.0596,1402.89
3/22/2012,77.6502,1392.78
3/23/2012,77.224,1397.11
3/26/2012,78.64,1416.51
3/27/2012,79.6117,1412.52
3/28/2012,80.0186,1405.54
3/29/2012,79.0132,1403.28
3/30/2012,77.6774,1408.47
4/2/2012,80.1494,1419.04
4/3/2012,81.5344,1413.38
4/4/2012,80.8853,1398.96
4/5/2012,82.0993,1398.08
4/9/2012,82.4297,1382.2
4/10/2012,81.4204,1358.59
4/11/2012,81.1302,1368.71
4/12/2012,80.6858,1387.57
4/13/2012,78.4133,1370.26
4/16/2012,75.1614,1369.57
4/17/2012,78.9924,1390.78
4/18/2012,78.8162,1385.14
4/19/2012,76.1084,1376.92
4/20/2012,74.235,1378.53
4/23/2012,74.0692,1366.94
4/24/2012,72.5896,1371.97
4/25/2012,79.0313,1390.69
4/26/2012,78.7333,1399.98
4/27/2012,78.1244,1403.36
4/30/2012,75.6602,1397.91
5/1/2012,75.4205,1405.82
5/2/2012,75.9193,1402.31
5/3/2012,75.3803,1391.57
5/4/2012,73.2335,1369.1
5/7/2012,73.7816,1369.58
5/8/2012,73.6131,1363.72
5/9/2012,73.7427,1354.58
5/10/2012,73.9163,1357.99
5/11/2012,73.4227,1353.39
5/14/2012,72.3227,1338.35
5/15/2012,71.6684,1330.66
5/16/2012,70.7492,1324.8
5/17/2012,68.6821,1304.86
5/18/2012,68.7158,1295.22
5/21/2012,72.7192,1315.99
5/22/2012,72.1608,1316.63
5/23/2012,73.9215,1318.86
5/24/2012,73.2426,1320.68
5/25/2012,72.85,1317.82
5/29/2012,74.143,1332.42
5/30/2012,75.037,1313.32
5/31/2012,74.8504,1310.33
6/1/2012,72.6816,1278.04
6/4/2012,73.1091,1278.18
6/5/2012,72.92,1285.5
6/6/2012,74.0381,1315.13
6/7/2012,74.0718,1314.99
6/8/2012,75.186,1325.66
6/11/2012,74.0005,1308.93
6/12/2012,74.647,1324.18
6/13/2012,74.1288,1314.88
6/14/2012,74.0472,1329.1
6/15/2012,74.384,1342.84
6/18/2012,75.8934,1344.78
6/19/2012,76.1046,1357.98
6/20/2012,75.8883,1355.69
6/21/2012,74.8426,1325.51
6/22/2012,75.4166,1335.02
6/25/2012,73.948,1313.72
